x,y,orientation,,Orignal
0.30,45.60,0.00,,90.00
0.25,43.95,-0.59,,90.59
0.25,44.10,-2.36,,92.36
0.25,44.70,-1.18,,91.18
0.40,43.80,-1.19,,91.19
-0.25,43.80,-1.18,,91.18
-0.35,46.05,-0.59,,90.59
-0.50,45.20,0.00,,90.00
-0.40,44.85,0.60,,89.40
-0.20,44.05,-0.60,,90.60
0.25,44.70,-1.18,,91.18
-0.55,46.60,1.21,,88.79
-0.55,46.35,1.77,,88.23
0.10,45.30,0.00,,90.00
-0.40,44.45,-0.61,,90.61
0.85,44.30,0.00,,90.00
-0.50,44.35,0.60,,89.40
-0.50,45.10,1.19,,88.81
-0.65,43.40,1.21,,88.79
0.30,45.60,0.00,,90.00
0.70,44.55,0.58,,89.42
-0.55,46.35,1.77,,88.23
-0.35,46.05,-0.59,,90.59
0.25,44.10,-2.36,,92.36
0.30,45.60,0.00,,90.00
-22.75,31.45,-62.10,,27.90
-23.60,31.65,-62.59,,27.41
-23.65,31.85,-64.29,,25.71
-22.80,31.20,-55.98,,34.02
-23.00,31.05,-56.65,,33.35
-23.40,31.90,-56.98,,33.02
-24.50,31.20,-58.63,,31.37
-23.25,31.85,-57.15,,32.85
-23.10,31.70,-55.98,,34.02
-23.20,31.95,-57.30,,32.70
-23.90,32.20,-56.98,,33.02
-23.65,32.20,-60.18,,29.82
-23.65,32.30,-56.48,,33.52
-23.75,32.35,-62.57,,27.43
-24.80,32.10,-58.63,,31.37
-24.35,32.00,-58.74,,31.26
-24.10,31.75,-58.31,,31.69
-24.15,31.70,-58.12,,31.88
-23.65,32.55,-56.80,,33.20
-23.75,32.10,-56.48,,33.52
-25.40,32.20,-58.63,,31.37
-23.65,32.20,-60.18,,29.82
-23.95,33.20,-56.14,,33.86
-24.25,31.85,-57.80,,32.20
-23.00,32.00,-55.30,,34.70
25.15,32.65,62.61,,152.61
23.35,31.90,56.48,,146.48
22.30,31.60,55.98,,145.98
23.70,31.00,56.98,,146.98
23.40,31.60,56.98,,146.98
22.40,31.95,55.65,,145.65
23.35,31.70,57.48,,147.48
23.30,31.35,56.31,,146.31
23.20,31.70,59.04,,149.04
27.15,32.30,60.00,,150.00
23.95,32.00,66.10,,156.10
24.00,33.25,56.31,,146.31
24.60,32.60,57.62,,147.62
23.95,28.70,57.80,,147.80
22.90,31.65,56.31,,146.31
23.65,32.20,56.48,,146.48
23.10,31.65,58.31,,148.31
23.55,32.70,56.48,,146.48
23.55,32.70,56.48,,146.48
24.45,32.15,59.44,,149.44
23.55,32.45,56.80,,146.80
25.35,32.25,57.53,,147.53
24.70,31.60,58.63,,148.63
24.90,31.85,61.66,,151.66
23.80,32.40,57.62,,147.62